DATE;TIME PERIOD;Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)
31.01.2019;2019Jan;-0,308
28.02.2019;2019Feb;-0,3084
31.03.2019;2019Mar;-0,3092
30.04.2019;2019Apr;-0,3105
31.05.2019;2019May;-0,3119
30.06.2019;2019Jun;-0,3289
31.07.2019;2019Jul;-0,3649
31.08.2019;2019Aug;-0,4077
30.09.2019;2019Sep;-0,4176
31.10.2019;2019Oct;-0,4129
30.11.2019;2019Nov;-0,4013
31.12.2019;2019Dec;-0,3947
31.01.2020;2020Jan;-0,3911
29.02.2020;2020Feb;-0,4089
31.03.2020;2020Mar;-0,4166
30.04.2020;2020Apr;-0,2541
31.05.2020;2020May;-0,272
30.06.2020;2020Jun;-0,376
31.07.2020;2020Jul;-0,4441
31.08.2020;2020Aug;-0,4797
30.09.2020;2020Sep;-0,4914
31.10.2020;2020Oct;-0,5091
30.11.2020;2020Nov;-0,5209
31.12.2020;2020Dec;-0,5381
31.01.2021;2021Jan;-0,5472
28.02.2021;2021Feb;-0,5411
31.03.2021;2021Mar;-0,5391
30.04.2021;2021Apr;-0,5382
31.05.2021;2021May;-0,5401
30.06.2021;2021Jun;-0,5429
31.07.2021;2021Jul;-0,5448
31.08.2021;2021Aug;-0,5476
30.09.2021;2021Sep;-0,545
31.10.2021;2021Oct;-0,5498
30.11.2021;2021Nov;-0,5674
31.12.2021;2021Dec;-0,582
31.01.2022;2022Jan;-0,5601
28.02.2022;2022Feb;-0,5315
31.03.2022;2022Mar;-0,4954
30.04.2022;2022Apr;-0,4479
31.05.2022;2022May;-0,3857
30.06.2022;2022Jun;-0,2392
31.07.2022;2022Jul;0,0366
31.08.2022;2022Aug;0,3947
30.09.2022;2022Sep;1,0109
31.10.2022;2022Oct;1,4277
30.11.2022;2022Nov;1,8252
31.12.2022;2022Dec;2,0635
31.01.2023;2023Jan;2,3449
28.02.2023;2023Feb;2,6403
31.03.2023;2023Mar;2,9106
30.04.2023;2023Apr;3,167
31.05.2023;2023May;3,3664
30.06.2023;2023Jun;3,5359
31.07.2023;2023Jul;3,6718
31.08.2023;2023Aug;3,7803
30.09.2023;2023Sep;3,88
31.10.2023;2023Oct;3,9676
30.11.2023;2023Nov;3,9716
31.12.2023;2023Dec;3,9331
